// Compost colors for compatdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
allium_cake, #f0a5d4
strong_tau_cookie, #ffcf5c
strong_tau_ice_cream, #ffeb20
strong_tau_jem, #ffffae
strong_tau_pie, #e37032
sweet_berries_ice_cream, #b92f2f
sweet_berries_juice, #d090a7
sweet_berries_lolipop, #ffaeae
sweetener, #ffffff
tallow_bootle, #ffffff
tallow_bread, #f0cf9a
tallow_of_hamburger, #c9a158
tallow_sandwich, #f5cd84
tau_fruit_pie, #c5223e
tau_stew, #c22f11
tentacle_and_arcane_eggs, #905f29
tentacle_of_hamburger, #a46e30
tentacle_stew, #894d26
terrasteel_knife, #6ebc64
terrasteel_shake, #7dffbc
toasted_marshmallow, #fffff4
tube_coral_cookie, #feaf7a
tube_coral_knife, #4669d2
tube_coral_pie, #e1b8a1
tube_coral_wrap, #cfb493
tube_jem, #8cbbff
vegetable_salad, #7f802a
void_bone, #611baa
void_bread, #6e15bb
void_carrot, #476175
void_dog_food, #65335f
void_ice_cream, #6f25a2
void_jem, #c08dff
void_pie, #5b2993
void_potato, #7d20da
void_shake, #a465ff
void_steak, #862cdc
warden_meat, #74655
warden_roll, #4b7379
warden_stew, #504730
wax_jem, #ffffd2
wax_sandwich, #d79e39
wax_shake, #ffffb2
weak_tau_cookie, #ffa75e
weak_tau_ice_cream, #ff2d22
weeping_vines_pasta, #bb1812
weeping_vines_with_meatballs, #9b3a20
wilden_chimera_heart, #ffffdc
wilden_guardian_steak, #e1aa87
wilden_stalker_meat, #af9d75
wither_meat, #282828
wither_meat_stick, #2f2c28
wither_rose_juice, #8693a1
wither_rose_shake, #6c7889
